username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
vivekrkris;2015-12-02 00:59;0;0;"Help needed !! #chennairains #ChennaiFloods #ChennaiRainsHelp https:// twitter.com/manojmystery/s tatus/671768116217561088 …";;;#chennairains #ChennaiFloods #ChennaiRainsHelp;"671773063168442368";https://twitter.com/vivekrkris/status/671773063168442368
jaydawt;2015-12-02 00:59;1;0;"@PiazzasixTJ @StationCDRKelly Check the #ChennaiFloods and #ChennaiRains hashtags";;@PiazzasixTJ @StationCDRKelly;#ChennaiFloods #ChennaiRains;"671773061251768320";https://twitter.com/jaydawt/status/671773061251768320
innatephix;2015-12-02 00:58;0;2;"#Chennai Airport #chennairains #chennaiairport #ChennaiDrowning #ChennaiFloods #savechennai #PrayforChennai pic.twitter.com/MMt9PRvp0U";;;#Chennai #chennairains #chennaiairport #ChennaiDrowning #ChennaiFloods #savechennai #PrayforChennai;"671772991517143040";https://twitter.com/innatephix/status/671772991517143040
JanuPaigeVJ;2015-12-02 00:58;0;2;"@SaakshiSRawat #chennairains #ChennaiRainsHelp #ChennaiFloods mam do tweet some ppl get help";;@SaakshiSRawat;#chennairains #ChennaiRainsHelp #ChennaiFloods;"671772955253194752";https://twitter.com/JanuPaigeVJ/status/671772955253194752
svinothkannanh;2015-12-02 00:58;1;1;"#flood #chennairains #ChennaiFloods https:// twitter.com/aravinthiron/s tatus/671772622204461057 …";;;#flood #chennairains #ChennaiFloods;"671772934726287360";https://twitter.com/svinothkannanh/status/671772934726287360
Thakurr_;2015-12-02 00:58;1;1;"@santoshsinghk Chennai #Army Helpline is now open!! Call - 9840295100 #SpreadTheWord #chennaiRainsHelp #chennairains #ChennaiFloods";;@santoshsinghk;#Army #SpreadTheWord #chennaiRainsHelp #chennairains #ChennaiFloods;"671772930435493888";https://twitter.com/Thakurr_/status/671772930435493888
davevijay21;2015-12-02 00:58;0;0;"Please help the stray dogs too.. Feeling terrible thinking about them suffering. #chennairains #ChennaiFloods #prayers";;;#chennairains #ChennaiFloods #prayers;"671772870704365568";https://twitter.com/davevijay21/status/671772870704365568
rafa_rkx;2015-12-02 00:58;1;0;"#chennairains #ChennaiFloods all area in Chennai emergency numbere here cc https:// twitter.com/Ajithselvam97/ status/671736284553973760 …";;;#chennairains #ChennaiFloods;"671772865721597952";https://twitter.com/rafa_rkx/status/671772865721597952
bbalakrish;2015-12-02 00:58;1;1;"Anyone needed help on ECR, Thiruvanmiyur and around #ChennaiRains #ChennaiFloods #ChennaiNeedsHelp pic.twitter.com/IdPPUC31qd";;;#ChennaiRains #ChennaiFloods #ChennaiNeedsHelp;"671772837984604160";https://twitter.com/bbalakrish/status/671772837984604160
urstrulyMahe5h;2015-12-02 00:58;1;0;"Boat help #ChennaiFloods #chennairains pic.twitter.com/tAk571xnO7";;;#ChennaiFloods #chennairains;"671772809673084928";https://twitter.com/urstrulyMahe5h/status/671772809673084928
amritalakshmi1;2015-12-02 00:58;1;0;"People stuck at Tambaram and Mogapair #chenairains #ChennaiFloods #Chennai https:// twitter.com/AishuVJaddict/ status/671769585603887104 …";;;#chenairains #ChennaiFloods #Chennai;"671772785694347264";https://twitter.com/amritalakshmi1/status/671772785694347264
vigneshhari1;2015-12-02 00:58;19;4;"These Are The Roads Closed In #Chennai #ChennaiRains #ChennaiFloods #ChennaiRainsHelp pic.twitter.com/2L8nK2O5jg";;;#Chennai #ChennaiRains #ChennaiFloods #ChennaiRainsHelp;"671772754060795904";https://twitter.com/vigneshhari1/status/671772754060795904
shyam_badbadwal;2015-12-02 00:57;2;1;"Tweet or msg me ppl stuck in Adyar area. My Friends at IITM will happy to help. #chennairains #ChennaiFloods #Chennaifloodrelief #chennai";;;#chennairains #ChennaiFloods #Chennaifloodrelief #chennai;"671772750717911040";https://twitter.com/shyam_badbadwal/status/671772750717911040
PallPakk;2015-12-02 00:57;0;1;"#chennairains #ChennaiFloods besant nagar MGRoad floods pic.twitter.com/7YOTduz9SX";;;#chennairains #ChennaiFloods;"671772719990509568";https://twitter.com/PallPakk/status/671772719990509568
chennai_vasi;2015-12-02 00:57;2;0;"#chennairains #ChennaiFloods plz some one help them they were still struck https:// twitter.com/M_RajaMohamed/ status/671759169616154624 …";;;#chennairains #ChennaiFloods;"671772718363115520";https://twitter.com/chennai_vasi/status/671772718363115520
INDIANARMY14;2015-12-02 00:57;9;2;"NDRF helplines 011-24363260 & +919711077372 #ChennaiFloods #ChennaiRainsHelp #HelpChennai #chennairains";;;#ChennaiFloods #ChennaiRainsHelp #HelpChennai #chennairains;"671772705855696896";https://twitter.com/INDIANARMY14/status/671772705855696896
HindustanSpeaks;2015-12-02 00:57;0;0;"Thoughts & prayers with people in Chennai...G'night #chennairains #ChennaiFloods #Chennaifloodrelief";;;#chennairains #ChennaiFloods #Chennaifloodrelief;"671772698549215232";https://twitter.com/HindustanSpeaks/status/671772698549215232
1rfanAli;2015-12-02 00:57;0;0;"@5airam Bro !!! heard #ChennaiFloods . number coming switch off !!! Safe ????";;@5airam;#ChennaiFloods;"671772678869622785";https://twitter.com/1rfanAli/status/671772678869622785
rafa_rkx;2015-12-02 00:57;0;0;"#chennairains #ChennaiFloods https:// twitter.com/BalaguruSivam/ status/671722442302365696 …";;;#chennairains #ChennaiFloods;"671772647978500096";https://twitter.com/rafa_rkx/status/671772647978500096
renu_18;2015-12-02 00:57;12;0;"#ChennaiFloods https:// twitter.com/Troll_Cinema/s tatus/671771676422463488 …";;;#ChennaiFloods;"671772647315800068";https://twitter.com/renu_18/status/671772647315800068
Khayali_Pullao;2015-12-02 00:57;2;0;"This page is providing hourly Rain updates and forecasts. #ChennaiFloods #chennairainupdates https:// m.facebook.com/tamilnaduweath erman/?refid=52&_ft_=qid.6223398473714570723:mf_story_key.-2772927371607945122 …";;;#ChennaiFloods #chennairainupdates;"671772614012985344";https://twitter.com/Khayali_Pullao/status/671772614012985344
csmony;2015-12-02 00:57;0;1;"Prayers for chennai and her people #stay safe everyone #ChennaiFloods pic.twitter.com/0NT0nVH67k";;;#stay #ChennaiFloods;"671772610649317377";https://twitter.com/csmony/status/671772610649317377
sabari001;2015-12-02 00:57;0;0;"To everyone who has retweeted, thanks for doing your bit. Let's do our bit #chennairains #ChennaiFloods #helpchennai";;;#chennairains #ChennaiFloods #helpchennai;"671772605616001025";https://twitter.com/sabari001/status/671772605616001025
amritalakshmi1;2015-12-02 00:57;0;1;"Free Medical Assistance to Flood Victims! #chennairains #ChennaiFloods #Chennai https:// twitter.com/JanuPaigeVJ/st atus/671769656219185152 …";;;#chennairains #ChennaiFloods #Chennai;"671772595541422080";https://twitter.com/amritalakshmi1/status/671772595541422080
shaikh_azeem;2015-12-02 00:57;0;0;"#ChennaiFloods : IMD predicts heavy rains in #TamilNadu , #Puducherry for next 4 days http://www. thehindu.com/news/cities/ch ennai/tamil-nadu-heavy-rains-lash-chennai-to-continue-for-two-more-days/article7936729.ece …";Mumbai, India;;#ChennaiFloods #TamilNadu #Puducherry;"671772576037756928";https://twitter.com/shaikh_azeem/status/671772576037756928
VocieOfHindu;2015-12-02 00:57;0;0;"RT arpitsizzle: IndiaBTL #ChennaiFloods #chennairains pic.twitter.com/ANbOnHgnCL";;;#ChennaiFloods #chennairains;"671772572011397122";https://twitter.com/VocieOfHindu/status/671772572011397122
VocieOfHindu;2015-12-02 00:57;0;0;"RT tamilFacts: there're so many ppls need food / shelter / volunteer / rescue etc., we can organize to meet #ChennaiFloods areas! #REPLY #c …";;;#ChennaiFloods #REPLY #c;"671772570291695617";https://twitter.com/VocieOfHindu/status/671772570291695617
VocieOfHindu;2015-12-02 00:57;1;1;"RT flyvenkat: Velacherry: can accomodate 5 members without food: Manoj Kumar(9790703730) #ChennaiRainsHelp #ChennaiRains #ChennaiFloods #Ch …";;;#ChennaiRainsHelp #ChennaiRains #ChennaiFloods #Ch;"671772567900987392";https://twitter.com/VocieOfHindu/status/671772567900987392
VocieOfHindu;2015-12-02 00:57;0;0;"RT divyasaiteja: Found this on facebook ! Someone please help them. #chennairains #ChennaiFloods #ChennaiHelps pic.twitter.com/LKnErgMX7B";;;#chennairains #ChennaiFloods #ChennaiHelps;"671772564188995584";https://twitter.com/VocieOfHindu/status/671772564188995584
arunsivadass;2015-12-02 00:57;0;0;"#chennairains #ChennaiFloods #ChennaiDrowning pic.twitter.com/hrIevjaO0T";;;#chennairains #ChennaiFloods #ChennaiDrowning;"671772552986013697";https://twitter.com/arunsivadass/status/671772552986013697
ragav_vijay10;2015-12-02 00:57;1;0;"Chennai #Army Helpline is now open Call - 9840295100 #SpreadTheWord #chennaiRainsHelp #chennairains #ChennaiFloods @vp_offl @actorkaruna";;@vp_offl @actorkaruna;#Army #SpreadTheWord #chennaiRainsHelp #chennairains #ChennaiFloods;"671772550867738624";https://twitter.com/ragav_vijay10/status/671772550867738624
rafa_rkx;2015-12-02 00:57;0;0;"#chennairains #ChennaiFloods medavakkam guys need urgent https:// twitter.com/ArchanaArchuu/ status/671770412506701824 …";;;#chennairains #ChennaiFloods;"671772543787786240";https://twitter.com/rafa_rkx/status/671772543787786240
monty_chadha;2015-12-02 00:57;1;0;"@PMOIndia @giridhoni143 : Pregnant lady in labour in madipakkam area needs help. Contact 8122226002 Please #ChennaiFloods";;@PMOIndia @giridhoni143;#ChennaiFloods;"671772540755312641";https://twitter.com/monty_chadha/status/671772540755312641
ActorVijayLove;2015-12-02 00:57;1;0;"Pregnant lady in labour in madipakkam area needs help. Contact 8122226002 Please share #ChennaiFloods #ChennaiRainsHelp @AR_Murugadoss";;@AR_Murugadoss;#ChennaiFloods #ChennaiRainsHelp;"671772528948486144";https://twitter.com/ActorVijayLove/status/671772528948486144
PeninsulaQatar;2015-12-02 00:57;2;0;"Record rainfall batters #Chennai , cripples life http:// bit.ly/1jxhD7H #chennairains #ChennaiFloods #chennaiweather pic.twitter.com/U6XCpCE7Sp";;;#Chennai #chennairains #ChennaiFloods #chennaiweather;"671772528130441216";https://twitter.com/PeninsulaQatar/status/671772528130441216
harivu3;2015-12-02 00:57;0;0;"@smritiirani #chennairains #ChennaiFloods pls do anything else u r the responsible all over human resorce pls mam";;@smritiirani;#chennairains #ChennaiFloods;"671772513290969088";https://twitter.com/harivu3/status/671772513290969088
a_aashish_;2015-12-02 00:57;92;3;"More helpline numbers..kindly spread.. #ChennaiRains #ChennaiFloods #ChennaiRainsHelp #ChennaiRainsHelp pic.twitter.com/HIXRPJobCc";;;#ChennaiRains #ChennaiFloods #ChennaiRainsHelp #ChennaiRainsHelp;"671772505296646144";https://twitter.com/a_aashish_/status/671772505296646144
Critic2015;2015-12-02 00:56;0;0;"#chennairains #ChennaiFloods in December, but PM is very confident that climate change is only a feeling that too for old aged.";;;#chennairains #ChennaiFloods;"671772495230468096";https://twitter.com/Critic2015/status/671772495230468096
ThasanVJ;2015-12-02 00:56;4;1;"Accommodation available for 20 ppl in OMRCONTACT 9940980186 #chennairains #chennairainshelp #ChennaiFloods #chennaiweather";;;#chennairains #chennairainshelp #ChennaiFloods #chennaiweather;"671772462158381056";https://twitter.com/ThasanVJ/status/671772462158381056
amritalakshmi1;2015-12-02 00:56;1;0;"Accomodation at Velachery! #chennairains #ChennaiFloods #Chennai #ChennaiRainsHelp https:// twitter.com/YOGEZZZ/status /671769687357825024 …";;;#chennairains #ChennaiFloods #Chennai #ChennaiRainsHelp;"671772459633352704";https://twitter.com/amritalakshmi1/status/671772459633352704
aneesactor;2015-12-02 00:56;0;0;"Since I have seen many people posting many photos of snakes entering houses during #chennaifloods thought of... http:// fb.me/3ISBNC2HD";;;#chennaifloods;"671772437839806465";https://twitter.com/aneesactor/status/671772437839806465
AdityaRajKaul;2015-12-02 00:56;40;35;"Moving image. An injured dog being rescued to safety amidst worse #ChennaiFloods today. That's the spirit. Respect! pic.twitter.com/ryp0txaPMq";;;#ChennaiFloods;"671772426762477568";https://twitter.com/AdityaRajKaul/status/671772426762477568
realSatish;2015-12-02 00:56;0;0;"Rains pouring with high intensity. Afraid to go to sleep fearing tomorrow morning's fury. #chennairains #ChennaiFloods";;;#chennairains #ChennaiFloods;"671772414766800896";https://twitter.com/realSatish/status/671772414766800896
p_murali;2015-12-02 00:56;0;0;"list of people who have opened their homes to the stranded, in Chennai #ChennaiRains #ChennaiFloods https:// docs.google.com/spreadsheets/d /1rZc3e9scewKxbZBn0vfDqkxOTy_NJYUBSfsVPgnkmdY/htmlview?usp=sharing&sle=true … "";;;#ChennaiRains #ChennaiFloods;"671772409591017472";https://twitter.com/p_murali/status/671772409591017472
PahaadiTweeter;2015-12-02 00:56;0;0;"Food -> Help available -> Fayyaz Ali Saidapet . Chennai 9710433333 #Chennairains #Chennairainshelp #ChennaiFloods";;;#Chennairains #Chennairainshelp #ChennaiFloods;"671772408773148672";https://twitter.com/PahaadiTweeter/status/671772408773148672
ragav_vijay10;2015-12-02 00:56;0;0;"Chennai #Army Helpline is now open Call - 9840295100 #SpreadTheWord #chennaiRainsHelp #chennairains #ChennaiFloods @AnjanaVJ @vrindaprasad";;@AnjanaVJ @vrindaprasad;#Army #SpreadTheWord #chennaiRainsHelp #chennairains #ChennaiFloods;"671772406759874560";https://twitter.com/ragav_vijay10/status/671772406759874560
vs_sat;2015-12-02 00:56;0;0;"@Actor_Siddharth @RJ_Balaji #chennairains #ChennaiFloods";Hosur SIPCOT Phase 2, India;@Actor_Siddharth @RJ_Balaji;#chennairains #ChennaiFloods;"671772401722523648";https://twitter.com/vs_sat/status/671772401722523648
rafa_rkx;2015-12-02 00:56;0;0;"#chennairains #ChennaiFloods foods ready call ccccc https:// twitter.com/onlynikil/stat us/671738518020886528 …";;;#chennairains #ChennaiFloods;"671772397305905152";https://twitter.com/rafa_rkx/status/671772397305905152
RAJFATHU;2015-12-02 00:56;0;0;"Pregnant lady in labour in madipakkam area needs help. Contact 8122226002 Please share #ChennaiFloods #ChennaiRainsHelp";;;#ChennaiFloods #ChennaiRainsHelp;"671772384697982976";https://twitter.com/RAJFATHU/status/671772384697982976
Alive_to_LOVE;2015-12-02 00:56;0;0;"#chennairains #ChennaiFloods Can any of u in chennai say how is rain pouring ryt now?? Is there any sign to stop or slow down?? Sad of u al";;;#chennairains #ChennaiFloods;"671772380260208640";https://twitter.com/Alive_to_LOVE/status/671772380260208640
aslam_me;2015-12-02 00:56;0;0;"#Accomodation available for 5 people at my place in #Thoraipakkam ... pls RT... #chennairains #ChennaiFloods";;;#Accomodation #Thoraipakkam #chennairains #ChennaiFloods;"671772350606647296";https://twitter.com/aslam_me/status/671772350606647296
INDIANARMY14;2015-12-02 00:56;4;1;"People hit by heavy rainfall in Tamil Nadu & Puducherry may dial NDRF helplines 011-24363260 & +919711077372 #ChennaiFloods #chennairains";;;#ChennaiFloods #chennairains;"671772294629298176";https://twitter.com/INDIANARMY14/status/671772294629298176
Tamiilan;2015-12-02 00:56;1;0;"An IT company in OMR #chennairains #ChennaiFloods pic.twitter.com/kP4FxHw6cI";;;#chennairains #ChennaiFloods;"671772256884752384";https://twitter.com/Tamiilan/status/671772256884752384
